400, "INVALID_INPUT_VALUE", " Invalid Input Value"
405, "METHOD_NOT_ALLOWED", " Invalid Input Value"
400, "ENTITY_NOT_FOUND", " Entity Not Found"
500, "INTERNAL_SERVER_ERROR", "Server Error"
400, "INVALID_TYPE_VALUE", " Invalid Type Value"
401, "UNAUTHORIZED_REQUEST", "잘못된 요청이거나 올바르지 않은 인증정보입니다."
403, "INVALID_REQUEST", "잘못된 접근입니다."
401, "TOKEN_EXPIRED", "토큰의 기한이 만료되었습니다."
401, "TOKEN_INVALID", "유효하지 않은 토큰입니다."
201, "TOKEN_REISSUE_SUCCESS", "정상적으로 토큰을 재발급했습니다"
200, "LOADBALANCER_HEALTH_CHECK_SUCCESS", "AWS 로드밸런서 health 체크 성공"
201, "SIGNUP_SUCCESS", "회원가입이 성공적으로 완료되었습니다."
200, "LOGIN_SUCCESS", "정상적으로 로그인 되었습니다."
200, "USER_INFO_GET_SUCCESS", "정상적으로 회원 정보를 조회했습니다."
200, "USER_INFO_VALIDATION", "정상적으로 중복 검사를 수행했습니다."
200, "USER_INFO_UPDATE_SUCCESS", "정상적으로 회원 정보를 수정했습니다."
200, "USER_MODIFY_PASSWORD_SUCCESS", "정상적으로 비밀번호를 수정했습니다."
204, "USER_DELETE_SUCCESS", "회원 탈퇴가 정상적으로 처리되었습니다."
400, "LOGIN_FAILURE", "로그인 정보를 다시 확인해주세요."
400, "SIGNUP_EMAIL_DUPLICATED", "이미 존재하는 이메일입니다."
400, "NICKNAME_DUPLICATED", "이미 사용 중인 닉네임입니다."
404, "USER_NOT_FOUND", "해당 계정을 찾을 수 없습니다."
404, "USER_MODIFY_PASSWORD_FAILURE", "기존 비밀번호를 다시 확인해주세요."
200, "CONTENTS_SEARCH_SUCCESS", "성공적으로 작품 검색을 완료했습니다."
400, "CONTENTS_SEARCH_WRONG_TYPE", "잘못된 검색 타입입니다."
500, "CONTENTS_PARSING_CERTIFICATION_ERROR", "데이터 파싱 중 문제가 발생했습니다."
200, "CONTENTS_GET_DETAILS_SUCCESS", "작품 상세 정보 조회를 완료했습니다."
400, "CONTENTS_GET_DETAILS_WRONG_TYPE", "잘못된 작품 타입입니다. (TV / MOVIE만 가능)"
404, "CONTENTS_NOT_EXIST_TMDB_ID", "유효하지 않은 id이거나 TMDB API 서버에 문제가 발생했습니다."
404, "CONTENTS_ID_NOT_FOUND", "DB에 등록되지 않았거나 유효하지 않은 작품 ID 입니다."
200, "REVIEW_GET_DETAILS_SUCCESS", "정상적으로 리뷰 정보를 조회했습니다."
201, "REVIEW_ADD_DETAILS_SUCCESS", "정상적으로 리뷰 정보를 등록했습니다."
